Name,Title,Create Date,Tags,Original Name,Location
link-the-best-coding-language-for-you-to-learn,2014 10 link the best coding language for you to learn org markdown,2014-10-01,"",2014/10/link-the-best-coding-language-for-you-to-learn.org.markdown,../SWAAC Posts/link-the-best-coding-language-for-you-to-learn.md
career-advice,2014 07 career advice org markdown,2014-07-01,"",2014/07/career-advice.org.markdown,../SWAAC Posts/career-advice.md
a-place-to-get-started-in-web-design,2014 07 a place to get started in web design org markdown,2014-07-01,"",2014/07/a-place-to-get-started-in-web-design.org.markdown,../SWAAC Posts/a-place-to-get-started-in-web-design.md
a-new-jekyllpress-gem,2014 07 a new jekyllpress gem org markdown,2014-07-01,"",2014/07/a-new-jekyllpress-gem.org.markdown,../SWAAC Posts/a-new-jekyllpress-gem.md
chris-pines-learn-to-program-on-unshelved-comic,2014 07 chris pines learn to program on unshelved comic org markdown,2014-07-01,"",2014/07/chris-pines-learn-to-program-on-unshelved-comic.org.markdown,../SWAAC Posts/chris-pines-learn-to-program-on-unshelved-comic.md
converting-blog-to-pure-jekyll,2014 09 converting blog to pure jekyll org markdown,2014-09-01,"",2014/09/converting-blog-to-pure-jekyll.org.markdown,../SWAAC Posts/converting-blog-to-pure-jekyll.md
this-is-why-gandi-dot-net-is-my-registrar-of-choice,2014 01 this is why gandi dot net is my registrar of choice org markdown,2014-01-01,"",2014/01/this-is-why-gandi-dot-net-is-my-registrar-of-choice.org.markdown,../SWAAC Posts/this-is-why-gandi-dot-net-is-my-registrar-of-choice.md
from-static-to-dynamic-typing-a-change-in-beliefs,2014 01 from static to dynamic typing a change in beliefs org markdown,2014-01-01,"",2014/01/from-static-to-dynamic-typing-a-change-in-beliefs.org.markdown,../SWAAC Posts/from-static-to-dynamic-typing-a-change-in-beliefs.md
my-nerd-story-what-you-say-to-young-girls-matters--linux-dot-com,2014 01 my nerd story what you say to young girls matters linux dot com org markdown,2014-01-01,"",2014/01/my-nerd-story-what-you-say-to-young-girls-matters--linux-dot-com.org.markdown,../SWAAC Posts/my-nerd-story-what-you-say-to-young-girls-matters--linux-dot-com.md
repost-rspec-3-and-deprecated-and-return-blocks,2014 12 repost rspec 3 and deprecated and return blocks org markdown,2014-12-01,"",2014/12/repost-rspec-3-and-deprecated-and-return-blocks.org.markdown,../SWAAC Posts/repost-rspec-3-and-deprecated-and-return-blocks.md
learning,learning org markdown,2020-01-01,"",learning.org.markdown,../SWAAC Posts/learning.md
link-sharing-rails-views-with-jekyll,2015 03 link sharing rails views with jekyll org markdown,2015-03-01,"",2015/03/link-sharing-rails-views-with-jekyll.org.markdown,../SWAAC Posts/link-sharing-rails-views-with-jekyll.md
link-how-to-use-the-html5-sectioning-elements,2015 03 link how to use the html5 sectioning elements org markdown,2015-03-01,"",2015/03/link-how-to-use-the-html5-sectioning-elements.org.markdown,../SWAAC Posts/link-how-to-use-the-html5-sectioning-elements.md
how-to-use-alt-text-attribute-properly,2015 03 how to use alt text attribute properly org markdown,2015-03-01,"",2015/03/how-to-use-alt-text-attribute-properly.org.markdown,../SWAAC Posts/how-to-use-alt-text-attribute-properly.md
a-new-release-of-jekyllpress,2015 03 a new release of jekyllpress org markdown,2015-03-01,"",2015/03/a-new-release-of-jekyllpress.org.markdown,../SWAAC Posts/a-new-release-of-jekyllpress.md
rails-question-getting-x-where-there-are-no-y,2015 03 rails question getting x where there are no y org markdown,2015-03-01,"",2015/03/rails-question-getting-x-where-there-are-no-y.org.markdown,../SWAAC Posts/rails-question-getting-x-where-there-are-no-y.md
til-kernel-number-gets-is-different-from-io-number-gets,2015 04 til kernel number gets is different from io number gets org markdown,2015-04-01,"",2015/04/til-kernel-number-gets-is-different-from-io-number-gets.org.markdown,../SWAAC Posts/til-kernel-number-gets-is-different-from-io-number-gets.md
installing-phantomjs-on-ubuntu-linux,2015 04 installing phantomjs on ubuntu linux org markdown,2015-04-01,"",2015/04/installing-phantomjs-on-ubuntu-linux.org.markdown,../SWAAC Posts/installing-phantomjs-on-ubuntu-linux.md
the-x-y-problem,2015 04 the x y problem org markdown,2015-04-01,"",2015/04/the-x-y-problem.org.markdown,../SWAAC Posts/the-x-y-problem.md
new-site-jekyll-tips,2015 05 new site jekyll tips org markdown,2015-05-01,"",2015/05/new-site-jekyll-tips.org.markdown,../SWAAC Posts/new-site-jekyll-tips.md
multiple-vagrant-rails-development-box-setup-times,2015 05 multiple vagrant rails development box setup times org markdown,2015-05-01,"",2015/05/multiple-vagrant-rails-development-box-setup-times.org.markdown,../SWAAC Posts/multiple-vagrant-rails-development-box-setup-times.md
links,2015 05 links org markdown,2015-05-01,"",2015/05/links.org.markdown,../SWAAC Posts/links.md
tbp-bistate-booleans-in-rails,2015 05 tbp bistate booleans in rails org markdown,2015-05-01,"",2015/05/tbp-bistate-booleans-in-rails.org.markdown,../SWAAC Posts/tbp-bistate-booleans-in-rails.md
love-letter,2015 05 love letter org markdown,2015-05-01,"",2015/05/love-letter.org.markdown,../SWAAC Posts/love-letter.md
thor-scripting,2015 05 thor scripting org markdown,2015-05-01,"",2015/05/thor-scripting.org.markdown,../SWAAC Posts/thor-scripting.md
using-emacss-org-mode-and-editing-yaml-frontmatter-in-jekyll-posts,2015 05 using emacss org mode and editing yaml frontmatter in jekyll posts org markdown,2015-05-01,"",2015/05/using-emacss-org-mode-and-editing-yaml-frontmatter-in-jekyll-posts.org.markdown,../SWAAC Posts/using-emacss-org-mode-and-editing-yaml-frontmatter-in-jekyll-posts.md
snippet-getting-the-end-of-the-month-in-ruby,2015 05 snippet getting the end of the month in ruby org markdown,2015-05-01,"",2015/05/snippet-getting-the-end-of-the-month-in-ruby.org.markdown,../SWAAC Posts/snippet-getting-the-end-of-the-month-in-ruby.md
todays-reading,2015 05 todays reading org markdown,2015-05-01,"",2015/05/todays-reading.org.markdown,../SWAAC Posts/todays-reading.md
tiny-best-practices,2015 05 tiny best practices org markdown,2015-05-01,"",2015/05/tiny-best-practices.org.markdown,../SWAAC Posts/tiny-best-practices.md
til-beamer-installation-and-missing-fonts,2015 05 til beamer installation and missing fonts org markdown,2015-05-01,"",2015/05/til-beamer-installation-and-missing-fonts.org.markdown,../SWAAC Posts/til-beamer-installation-and-missing-fonts.md
tenderlove-weird-stuff-with-hashes,2015 02 tenderlove weird stuff with hashes org markdown,2015-02-01,"",2015/02/tenderlove-weird-stuff-with-hashes.org.markdown,../SWAAC Posts/tenderlove-weird-stuff-with-hashes.md
reactjs-course-with-frontend-masters,2015 02 reactjs course with frontend masters org markdown,2015-02-01,"",2015/02/reactjs-course-with-frontend-masters.org.markdown,../SWAAC Posts/reactjs-course-with-frontend-masters.md
first-vs-take,2015 02 first vs take org markdown,2015-02-01,"",2015/02/first-vs-take.org.markdown,../SWAAC Posts/first-vs-take.md
link-getting-testy,2015 11 link getting testy org markdown,2015-11-01,"",2015/11/link-getting-testy.org.markdown,../SWAAC Posts/link-getting-testy.md
registrar-domain-name-service-web-hosting-service,2015 10 registrar domain name service web hosting service org markdown,2015-10-01,"",2015/10/registrar-domain-name-service-web-hosting-service.org.markdown,../SWAAC Posts/registrar-domain-name-service-web-hosting-service.md
link-learn-enough-command-line-to-be-dangerous-by-michael-hartl,2015 10 link learn enough command line to be dangerous by michael hartl org markdown,2015-10-01,"",2015/10/link-learn-enough-command-line-to-be-dangerous-by-michael-hartl.org.markdown,../SWAAC Posts/link-learn-enough-command-line-to-be-dangerous-by-michael-hartl.md
klabnik-waxes-tweet-on-continuous-delivery,2015 10 klabnik waxes tweet on continuous delivery org markdown,2015-10-01,"",2015/10/klabnik-waxes-tweet-on-continuous-delivery.org.markdown,../SWAAC Posts/klabnik-waxes-tweet-on-continuous-delivery.md
what-are-the-fundamentals-of-software-engineering,2015 07 what are the fundamentals of software engineering org markdown,2015-07-01,"",2015/07/what-are-the-fundamentals-of-software-engineering.org.markdown,../SWAAC Posts/what-are-the-fundamentals-of-software-engineering.md
link-jquery-ui-autocomplete-with-ruby-on-rails,2015 07 link jquery ui autocomplete with ruby on rails org markdown,2015-07-01,"",2015/07/link-jquery-ui-autocomplete-with-ruby-on-rails.org.markdown,../SWAAC Posts/link-jquery-ui-autocomplete-with-ruby-on-rails.md
link-list-of-little-known-ruby-tricks,2015 07 link list of little known ruby tricks org markdown,2015-07-01,"",2015/07/link-list-of-little-known-ruby-tricks.org.markdown,../SWAAC Posts/link-list-of-little-known-ruby-tricks.md
where-do-i-go-next-code-kata,2015 07 where do i go next code kata org markdown,2015-07-01,"",2015/07/where-do-i-go-next-code-kata.org.markdown,../SWAAC Posts/where-do-i-go-next-code-kata.md
todays-reading,2015 07 todays reading org markdown,2015-07-01,"",2015/07/todays-reading.org.markdown,../SWAAC Posts/todays-reading.md
link-handling-csv-views-in-rails,2015 07 link handling csv views in rails org markdown,2015-07-01,"",2015/07/link-handling-csv-views-in-rails.org.markdown,../SWAAC Posts/link-handling-csv-views-in-rails.md
thirty-css-selectors-you-must-memorize,2015 09 thirty css selectors you must memorize org markdown,2015-09-01,"",2015/09/thirty-css-selectors-you-must-memorize.org.markdown,../SWAAC Posts/thirty-css-selectors-you-must-memorize.md
link-the-worst-mistake-in-computer-science,2015 09 link the worst mistake in computer science org markdown,2015-09-01,"",2015/09/link-the-worst-mistake-in-computer-science.org.markdown,../SWAAC Posts/link-the-worst-mistake-in-computer-science.md
ledgards-programming-proverbs,2015 08 ledgards programming proverbs org markdown,2015-08-01,"",2015/08/ledgards-programming-proverbs.org.markdown,../SWAAC Posts/ledgards-programming-proverbs.md
rails-immutable-records-and-attributes,2015 08 rails immutable records and attributes org markdown,2015-08-01,"",2015/08/rails-immutable-records-and-attributes.org.markdown,../SWAAC Posts/rails-immutable-records-and-attributes.md
using-packer-and-vagrant-to-build-virtual-machines,2015 01 using packer and vagrant to build virtual machines org markdown,2015-01-01,"",2015/01/using-packer-and-vagrant-to-build-virtual-machines.org.markdown,../SWAAC Posts/using-packer-and-vagrant-to-build-virtual-machines.md
link-stop-writing-rails-controllers,2015 01 link stop writing rails controllers org markdown,2015-01-01,"",2015/01/link-stop-writing-rails-controllers.org.markdown,../SWAAC Posts/link-stop-writing-rails-controllers.md
emacs-org-mode,2015 01 emacs org mode org markdown,2015-01-01,"",2015/01/emacs-org-mode.org.markdown,../SWAAC Posts/emacs-org-mode.md
validation-contexts,2015 01 validation contexts org markdown,2015-01-01,"",2015/01/validation-contexts.org.markdown,../SWAAC Posts/validation-contexts.md
just-use-double-quotes,2015 01 just use double quotes org markdown,2015-01-01,"",2015/01/just-use-double-quotes.org.markdown,../SWAAC Posts/just-use-double-quotes.md
rails-4-dot-2-config-for,2015 01 rails 4 dot 2 config for org markdown,2015-01-01,"",2015/01/rails-4-dot-2-config-for.org.markdown,../SWAAC Posts/rails-4-dot-2-config-for.md
interesting-uses-of-docker,2015 06 interesting uses of docker org markdown,2015-06-01,"",2015/06/interesting-uses-of-docker.org.markdown,../SWAAC Posts/interesting-uses-of-docker.md
why-write-good-commit-messages-futurelearn-blog,2015 06 why write good commit messages futurelearn blog org markdown,2015-06-01,"",2015/06/why-write-good-commit-messages-futurelearn-blog.org.markdown,../SWAAC Posts/why-write-good-commit-messages-futurelearn-blog.md
how-to-preload-rails-scopes-justin-weiss,2015 06 how to preload rails scopes justin weiss org markdown,2015-06-01,"",2015/06/how-to-preload-rails-scopes-justin-weiss.org.markdown,../SWAAC Posts/how-to-preload-rails-scopes-justin-weiss.md
first-thing-i-learned-about-working-with-elixir,2015 06 first thing i learned about working with elixir org markdown,2015-06-01,"",2015/06/first-thing-i-learned-about-working-with-elixir.org.markdown,../SWAAC Posts/first-thing-i-learned-about-working-with-elixir.md
todays-readings-and-stuff,2015 06 todays readings and stuff org markdown,2015-06-01,"",2015/06/todays-readings-and-stuff.org.markdown,../SWAAC Posts/todays-readings-and-stuff.md
just-say-no-to-more-end-to-end-tests-google-dev-blog,2015 06 just say no to more end to end tests google dev blog org markdown,2015-06-01,"",2015/06/just-say-no-to-more-end-to-end-tests-google-dev-blog.org.markdown,../SWAAC Posts/just-say-no-to-more-end-to-end-tests-google-dev-blog.md
keep-your-data-in-your-database-pat-shaughnessy,2015 06 keep your data in your database pat shaughnessy org markdown,2015-06-01,"",2015/06/keep-your-data-in-your-database-pat-shaughnessy.org.markdown,../SWAAC Posts/keep-your-data-in-your-database-pat-shaughnessy.md
